31 Dic.|Controllo, e correzione, dei link e dei riferimenti ai siti esterni al Lug. 
23 Dic.|Alle ore 21 ci si ritrova al parcheggio del <a href="http://www.maporama.com/share/Map.asp?ADDRESS=via+giulio+togni&CITYCODE=3900160000010167&CITYNAME=BRESCIA&ZIPCODE=25122&XgoPointX=1214122&XgoPointY=2089966&XgoSetLogicalScale=3&NumberCurrentStep=0&SESSIONID={238C34C4-846A-4238-8841-337E1FD6328A}">Lio Bar</a> per andare a brindare. L'incontro &egrave; aperto a tutti.
29 Nov.|Viene aggiornato il materiale relativo al <a href="/attivita/linux_day/linux_day_6/">Linux Day</a>, con l'aggiunta delle foto e altro.
28 Nov.|Presso il <a href="http://www.cineca.it/">Cineca</a> di <a href="http://www.cineca.it/where/">Casalecchio di Reno</a> (BO), ha luogo il seminario <a href="http://www.cineca.it/events/openmosix/">Linux Cluster: the openMosix approach</a>. L'incontro &egrave; gratuito e aperto a tutti.  Chi volesse partecipare pu&ograve; mandare una mail di adesione alla <a href="mailto:lug@lugbs.it">mailing list principale</a> dove viene organizzato lo spostamento.
26 Nov.|Viene buttato a mare il codice di gestione degli editoriali. Le pagine dei passati Linux Day ricevono un'ulteriore ripulita. L'homepage subisce talune modifiche di prova per migliorarne la leggibilit&agrave;. Pareri e suggerimenti a riguardo sono ben accetti nella mailing list principale.
25 Nov.|Vengono pubblicati gli <a href="/attivita/linux_day/linux_day_6/atti/">atti</a> del sesto Linux Day.
23 Nov.|Aderendo informalmente al <a href="http://www.linux.it/LinuxDay/">Linux Day Nazionale</a>, si svolge il <a href="/attivita/linux_day/linux_day_6/">sesto Linux Day</a> del Lug-BS. Per evidenti ragioni logistiche &egrave; gradito un'informale preavviso di partecipazione, via email, all'indirizzo <a href="mailto:linuxday@lugbs.it">linuxday@lugbs.it</a>
14 Nov.|Viene reso disponibile il <a href="/attivita/linux_day/linux_day_6/programma/programma_linux_day_6.pdf">volantino</a>, con il programma, del prossimo <a href="/attivita/linux_day/linux_day_6/">Linux Day</a>.  Stampate e diffondete.
08 Nov.|Viene pubblicata la bozza del programma per il prossimo <a href="/attivita/linux_day/linux_day_6/">Linux Day</a>. In calce allo stesso si trovano le note riguardanti i crediti formativi, gli attestati di partecipazione e la validit&agrave; dell'incontro, per il corpo docenti, come attivit&agrave; di formazione e aggiornamento.
04 Nov.|Aggiornato il programma del <a href="/attivita/eventi_locali/linux_base/">corso di base su Linux</a> che ha luogo presso la facolt&agrave; di Ingegneria di Brescia.
11 Ott.|Inizia un <a href="/attivita/eventi_locali/linux_base/">Corso Linux di Base</a> presso la facolt&agrave; di Ingegneria di Brescia.
10 Ott.|Inizia la manifestazione <a href="http://www.fresnet.it/mediaexpo/">MediaExpo</a>, che si protrarr&agrave; fino al 12. Si tratta di una manifestazione no profit focalizzata, principalmente, sulla rassegna di prodotti multimediali e audiovisivi per tutti i livelli delle scuole dell'obbligo. In previsione del prossimo <a href="/attivita/linux_day/linux_day_6/">Linux Day</a> potrebbe trattarsi di una preziosissima fonte di ispirazione. Chi volesse visitarla pu&ograve; segnalare la propria intenzione nella mailing list principale, al fine di muoversi in gruppo.
09 Ott.|Nasce il <a href="http://www.lugcr.it/">Lug di Cremona</a>. I migliori auguri da parte del LugBS, con l'auspicio di numerose e proficue collaborazioni.
08 Ott.|Viene aggiunto il sunto della riunione del 2 Ottobre nella sezione del prossimo <a href="/attivita/linux_day/linux_day_6/">Linux Day</a>.
07 Ott.|Alle ore 21:00, presso <a href="http://www.lacorteweb.it">l'Associazione Culturale La Corte</a>, si svolge un incontro divulgativo sul fenomeno Linux e gli scenari che si prospettano per l'informatica. La partecipazione &egrave; libera.
06 Ott.|Ha inizio la serie di seminari, gratuiti e aperti a tutti, del <a href="http://www.circolab.net">Circolab</a> per l'anno 2002. Per gli interessati &egrave; disponibile sul sito il programma degli incontri.  
05 Ott.|A Milano, alle ore 16:00, si svolge un Key Signing Party. Per maggiori informazioni &egrave; possibile consultare <a href="http://www.mksp.m4d.sm/">il sito.</a>
03 Ott.|Viene aggiornata le sezione del <a href="/attivita/sito_web/">sito web</a> e l'area dei <a href="/attivita/linux_day/">Linux Day</a>. Seguono una serie di correzioni di vario genere qua e la.
02 Ott.|Alle ore 20:00 si svolge, presso <a href="http://www.ipsiamoretto.com/">l'Istituto Moretto</a>, l'incontro per l'organizzazione del prossimo Linux Day. La partecipazione, al solito, &egrave; aperta a tutti, cos&igrave; come la pizzata al termine.
19 Set.|Vengono aggiornate le sezioni <a href="/attivita/cd_del_lug/">CD del lug</a>, <a href="/attivita/mailing_list/">mailing list</a> e <a href="/contatti/faq_del_lug/">faq</a>.
10 Set.|A tempo di record viene decisa una cena/incontro degli attivisti. All'ordine del giorno l'organizzazione del sesto linux day, e l'adesione al <a href="http://www.linux.it/LinuxDay/">Linux Day Nazionale</a>. Per maggiori dettagli si veda il prossimo editoriale.
31 Lug.|Aggiornato il server per la mailing-list. 
21 Giu.|Sua Santit&agrave; Richard Stallman tiene un <a href="http://www.hackmeeting.org/programme.html">incontro</a> durante l'<a href="http://www.hackmeeting.org">hackmeeting</a>.
20 Mag.|A Barbarano di Sal&ograve; alle ore 21:00, presso <a href="http://www.lacorteweb.it">l'Associazione Culturale La Corte,</a> si tiene un incontro divulgativo, a la <a href="/attivita/linux_day/">Linux Day</a>, sul mondo Linux.
20 Apr.|Alle ore 14, all'Istituto Moretto, si svolge il primo <a href="/attivita/install_fest/">install fest</a> del Lug.
16 Apr.|Gli attivisti si ritrovano per discutere le future iniziative del Lug.
13 Feb|In serata ci si ritrova al <a href="http://www.maporama.com/share/Map.asp?ADDRESS=via+giulio+togni&CITYCODE=3900160000010167&CITYNAME=BRESCIA&ZIPCODE=25122&XgoPointX=1214122&XgoPointY=2089966&XgoSetLogicalScale=3&NumberCurrentStep=0&SESSIONID={238C34C4-846A-4238-8841-337E1FD6328A}">Lio Bar</a> alle ore 21:00 per una birrata. L'incontro &egrave; aperto a tutti.
02 Feb|Con un solo mese di ritardo viene inserita nel diario la nascita dei Lug di Chiari e di Ghedi. Per maggiori dettagli si veda il 6 e il 7 Gennaio. Un sentito plauso, da parte di tutto il Lug di BS, a tutti coloro che stanno dedicando tempo ed energie nella realizzazione di un Lug. Dal canto nostro rinnoviamo la nostra disponibilit&agrave; e per l'aiuto tecnico, mettendo a disposizione i nostri server, e per il supporto morale, offrendo litri e litri di vino.
25 Gen.|Alle ore 20:30, presso l'aula magna dell'<a href="/attivita/incontri_moretto/">Istituto Moretto</a>, Enrico Colombini tiene un incontro sui <i>Principali comandi Unix e sintassi della linea di comando</i>. L'incontro &egrave; aperto al pubblico.
18 Gen.|La situazione sul nuovo server temporaneo si sta stabilizzando ma potrebbero esserci ancora problemini e problemoni, in particolare a causa dei dns. C'&egrave anche qualche novit&agrave;: un mirror ufficiale del sito <A HREF="http://www2.lugbs.it/">qui</A> e la possibilit&agrave; di <A href="http://cvs.lugbs.it/">analizzare via web</A> l'albero del cvs.
16 Gen.|Iniziano le grandi manovre per lo spostamento del sito, e dei servizi, del Lug a nuova sede. La mailing list, al momento, non dovrebbe risentirne... i guai stanno arrivando per il sito web e il repository cvs...
10 Gen.|Alle ore 10:30, presso l'Aula Consiliare della Facolt&agrave; di Ingegneria, ha luogo il convegno <i>Prospettive occupazionali e offerte formative per neolaureati nel settore dell'ICT</i>. Per maggiori dettagli &egrave; disponibile <a href="http://ml.lugbs.it/lug/monthly/200112/0197.html">l'annuncio</a>.
07 Gen.|Viene <a href="http://ml.lugbs.it/lug/monthly/200201/0041.html">annunciata la nascita</a> del Lug di Ghedi.
06 Gen.|Viene <a href="http://groups.google.com/groups?selm=8R3_7.37319%24s04.1753639%40news.infostrada.it&output=gplain">annunciata la nascita</a> del <a href="http://it.geocities.com/lugchiari/index.html">Lug di Chiari</a>.
