Sab. 21 Dic.|<a href="http://thankpoland.info/"> <img src="http://thankpoland.info/poland_banner90.png" border="0" alt="Thank you, Poland!"></a>
Sab. 27 Nov.|Presso l'<a href="http://www.itiscastelli.org/">Istituto I.T.I.S. Castelli</a> si svolge il Decimo Linux Day del LugBS, in concomitanza con il <a href="http://www.linux.it/LinuxDay/">Linux Day Nazionale</a>. Per maggiori dettagli si veda la <a href="/attivita/linux_day/linux_day_10/">sezione apposita</a>. La partecipazione &egrave; libera e aperta a tutti. Si richiede, per ovvie ragioni logistiche, la semplice segnalazione della propria <a href="/attivita/linux_day/linux_day_10/iscrizione.php">partecipazione</a>. Per docenti e studenti &egrave; possibile richiedere l'attestato di partecipazione durante l'evento.
Sab. 20 Nov.|Presso il <a href="http://www.secas.bs.it/it/main.asp?tipo=congressi">Centro Congressi</a> di Darfo Boario Terme si svolge il <a href="/attivita/linux_day/linux_day_9/">nono Linux Day</a>. La partecipazione &egrave; libera e aperta a tutti. Per ovvie ragioni logistiche &egrave; gradita <a href="/attivita/linux_day/linux_day_9/iscrizione.php">l'iscrizione</a>.
Mer. 10 Nov.|Alle ore 21:00 presso la BierHouse in via Triumplina ci si ritrova per la preparazione del prossimo Linux Day. La partecipazione &egrave; aperta a tutti.
Sab. 30 Ott.|Tutti in Germania al <a href="http://www.debian.org/events/2004/1030-lit-dresden">Linux-Info-Tag</a> di Dresda (i dettagli, in italiano, sono disponibili sul <a href="http://www.debian.org/News/2004/20041015">sito Debian</a>). La partecipazione &egrave; libera ed aperta a tutti. Per maggiori informazioni scrivere a:<a href="mailto:stefano.tanfoglio@gelma.net">Stefano Tanfoglio</a>.
Gio. 28 Ott.|Alle ore 21:00 ci si ritrova presso la BierHouse in via Triumplina, senza nessuna ragione in particolare, giusto per bere. La partecipazione &egrave; aperta a tutti.
Sab. 16 Ott.|Ci si incontra per la definizione degli interventi del prossimo <a href="/attivita/linux_day/linux_day_9/">Linux Day camuno</a>. Chiunque fosse interessato all'organizzazione dell'evento pu&ograve; partecipare. Il punto di ritrovo &egrave; il piazzale dell'Autostazione di Boario alle ore 16:00. Come referente &egrave; possibile contattare Andrea Gelmini al numero tre-due-otto-sette-due-nove-sei-sei-due-otto.
Gio. 14 Ott.|Viene aggiornata la <a href="/attivita/mailing_list/">policy della mailing list</a>.
Mar. 12 Ott.|Alle ore 20:30 presso la BierHouse in via Triumplina ci si ritrova per la preparazione del prossimo Linux Day. La partecipazione &egrave; aperta a tutti.
Mer. 06 Ott.|Viene aggiornata la scaletta, con i nuovi interventi e i nuovi oratori, del <a href="/attivita/linux_day/linux_day_9/">nono Linux Day</a>.
Mar. 05 Ott.|Iniziano i preparativi per il <a href="/attivita/linux_day/linux_day_9/">nono Linux Day</a>. Chiunque fosse interessato all'organizzazione dell'evento pu&ograve; mettersi in contatto con <a href="mailto:andrea.gelmini@linux.it">andrea.gelmini@linux.it</a>.
Ven. 03 Set.|Ci si ritrova alle ore 21:00 presso l'ex <i>Citt&agrave; Mercato</i>, ora <i>Auchan</i>, di Concesio, per una birrata dove decidere le sorti del pianeta. In base al numero dei partecipanti ci si sposter&agrave; in uno dei locali nelle vicinanze. Per dubbi/informazioni/curiosit&agrave;/passaggi si consiglia di inviare un messaggio alla <a href="mailto:lug@lugbs.linux.it">mailing list</a>. La partecipazione, al solito, &egrave; aperta a tutti e non prevede l'acquisto di <a href="http://www.wikipedia.org">enciclopedie</a>. 
Sab. 19 Giu.|Il GardaLug in collaborazione con il Progetto Onde del Comune di Desenzano, organizzano un Linux Install Fest presso il Laboratorio di Informatica Civica del Comune di Desenzano del Garda. L'incontro &egrave; aperto a tutti ma &egrave; richiesta una preiscrizione per ragioni logistiche. Maggiori informazioni sul <a href="http://gardalug.linux.it">sito del lug del lago di garda</a>
Sab. 13 Mar.|Presso l'Auditorium Capretti (Ex istituto artigianelli, in via Piamarta) si svolge l'ottavo Linux Day del LugBS. Per maggiori dettagli si veda la <a href="/attivita/linux_day/linux_day_8/">sezione apposita</a>. La partecipazione &egrave;  libera e aperta a tutti. Per docenti e studenti &egrave;  possibile richiedere l'attestato di partecipazione durante l'evento.
Sab. 06 Mar.|Il LugBS partecipa alla giornata del software libero organizzata dal <a href="http://wwww.linuxtrent.it">Lug di Trento</a> e dal <a href="http://gardalug.linux.it">GardaLug</a>.
Sab. 28 Feb.|Alle ore 21:00 presso la BierHouse in via Triumplina ci si ritrova per la preparazione del prossimo Linux Day. La partecipazione &egrave; aperta a tutti.
Gio. 15 Gen.|Il premio Oscar <a href="http://www.dmf.bs.unicatt.it/~paolini/">Maurizio Paolini</a> tiene una conferenza dal titolo <i>Software libero: il futuro della didattica della matematica nella scuola secondaria</i> presso il Museo Civico di Scienze Naturali, in via Ozanam 4. L'inizio &egrave; fissato per le ore 16 e l'incontro &egrave; aperto a tutti.
Gio. 01 Gen.|L'archivio degli eventi per l'anno 2003 &egrave; disponibile nella sezione <a href="/novita/diario/2003/">Diario</a>.
