Lun. 22 Dicembre|Alle ore 19:30, presso il pub <a href="http://maps.google.it/maps?f=q&hl=it&geocode=&q=via+gorizia,+11+-+brescia&sll=45.932813,10.242779&sspn=0.015521,0.035791&g=via+gorizia,+11+-+brescia&ie=UTF8&ll=45.547822,10.212436&spn=0.007814,0.017896&t=h&z=16&iwloc=addr">La Taerna</a>, ci si ritrova per lo scambio degli auguri. L'incontro &egrave; aperto a tutti.
Sab. 29 Novembre|Presso il <a href="http://www.centromarcolini.it/">Centro Sociale Sportivo Padre Ottorino Marcolini</a> a Gussago, alle ore 21, il divulgatore informatico <a href="http://www.attivissimo.net/chisonoio.htm">Paolo Attivissimo</a> tiene una conferenza dal titolo <b>Vincere le truffe in Internet</b>. L'ingresso &egrave; libero.
Sab. 29 Novembre|Il <a href="http://www.kenparker.eu/LugCastegnato/">Lug di Castegnato</a>, in collaborazione con il <a href="http://www.comune.castegnato.bs.it/">Comune di Castegnato</a>, aderendo al <a href="http://www.linuxday.it">Linux Day Nazionale</a> organizza il <a href="http://www.kenparker.eu/LugCastegnato/viewtopic.php?id=129">Linux Install Party</a>. Per i dettagli si veda la <a href="http://www.kenparker.eu/LinuxInstallDay.pdf">locandina</a>. 
Sab. 25 Ottobre|Il LugBS aderisce al <a href="http://www.linuxday.it">Linux Day Nazionale</a>. Per i dettagli si pu&ograve; consultare l'apposita <a href="/attivita/linux_day/linux_day_12/">sezione</a>, o la <a href="/attivita/linux_day/linux_day_12/LugBS_ProgrammaLinuxDay_04102008.pdf">locandina</a> della manifestazione. &Egrave; disponibile anche il <a href="/attivita/linux_day/linux_day_12/LugBS_ComunicatoStampa.pdf">comunicato stampa</a>.
Ven. 24 Ottobre|Presso l'Universit&agrave; di Informatica di Crema il LugBS partecipa al Media Expo 2008. Maggiori dettagli a breve.
Ven. 24 Ottobre|Il <a href="http://lug.yoda2000.net/">Lug di Ingegneria</a>, in collaborazione con <a href="http://www.yoda2000.net/">Atto Primo</a>, aderendo al <a href="http://www.linuxday.it">Linux Day Nazionale</a> organizza il <a href="http://wiki.yoda2000.net/doku.php?id=linux_day_2008">Linux Day di Ingegneria</a>.
Ven. 03 Ottobre|<a href="http://www.itiscastelli.it/">L'I.T.I.S Castelli</a> organizza, per tutto il mese di Ottobre, corsi gratuiti di Linux, aperti a tutta la cittadinanza. Per ulteriori informazioni si veda la <a href="http://www.itiscastelli.it/Dipartimenti/Inform/corsilinux.pdf">locandina</a>.
Ven. 19 Settembre|Viene aggiornata la sezione <a href="/novita/lugneidintorni/">Lug nei Dintorni</a> con l'aggiunta del <a href="http://www.kenparker.eu/LugCastegnato/">Lug di Castegnato</a>.
Gio. 18 Settembre|Alle ore 20:30, presso il <a href="http://maps.google.it/maps?f=q&amp;hl=it&amp;geocode=&amp;q=via+s.+francesco+d'assisi+23+collebeato+brescia+italy&amp;sll=45.584942,10.218787&amp;sspn=0.011383,0.023346&amp;ie=UTF8&amp;ll=45.584942,10.218444&amp;spn=0.011383,0.023346&amp;z=16&amp;om=1" target="_blank">bar Oasi</a> di Collebeato, ci si ritrova per definire i dettagli del prossimo Linux Day nazionale. L'incontro &egrave; aperto a tutti. 
Ven. 12 Settembre|<a href="http://ualuba.org/">L'associazione culturale Ualuba</a> organizza, presso la <a href="http://www.laba.edu/">Libera Accademia di Belle Arti LABA</a>, la conferenza <it>Copyright vs Community in the age of computer networks</it>, presenziata da <a href="http://it.wikipedia.org/wiki/Richard_Stallman">Richard Stallman</a>. L'evento ha inizio alle ore 16:00; &egrave; gratuioto e aperto a tutti. Maggiori informazioni sono dispobili sul sito <a href="http://medievalmedia.org/">mediavalmedia.org</a>.
Ven. 11 Luglio|Alle ore 21:00 ci si ritrova per la cena di celebrazione dei <a href="http://www.lugbs.linux.it/novita/diario/1998/index.php#primo_incontro">primi 10 anni di lug</a>. L'invito &egrave; aperto a tutti. Per partecipare &egrave; sufficiente inviare una mail a <a href="mailto:decennale@lugbs.linux.it">decennale@lugbs.linux.it</a>. Il luogo di ritrovo &egrave; al parcheggio dell'Auchan sulla Triumplina alle ore 20:30. Per qualsiasi ragguaglio si pu&ograve; contattare il 328/7296628 (Andrea Gelmini). 
Mar. 24 Giugno|Alle ore 21:00, presso il <a href="http://maps.google.it/maps?f=q&amp;hl=it&amp;geocode=&amp;q=via+s.+francesco+d'assisi+23+collebeato+brescia+italy&amp;sll=45.584942,10.218787&amp;sspn=0.011383,0.023346&amp;ie=UTF8&amp;ll=45.584942,10.218444&amp;spn=0.011383,0.023346&amp;z=16&amp;om=1" target="_blank">bar Oasi</a> di Collebeato, si ritrova il gruppo di <a href="http://didattica.lugbs.linux.it/">Didattica</a>. L'incontro &egrave; aperto a tutti. 
Mar. 17 Giugno|Alle ore 20:30, presso l'auditorium della scuola Bettinzoli-Pascoli, si svolge l'incontro dal titolo <a href="/attivita/eventi_locali/Locandina_Incontri_Bettinzoli_Giugno_2008.pdf">Soluzioni pratiche con il software libero</a>. L'evento &egrave; gratuito e aperto a tutti.
